underlier,date,T,maturity_days,true_psi,psi,smile_r_squared,n_strikes,valid
ES_like,2018-01-02,0.038356164383561646,14,-0.2000107770372221,-0.19683064326473862,0.9854656033274911,21,True
ES_like,2018-01-02,0.057534246575342465,21,-0.15559607648424237,-0.15277668591823584,0.9852969353007854,21,True
ES_like,2018-01-02,0.0821917808219178,30,-0.15592895024530923,-0.1581951461170341,0.9690798371084882,21,True
ES_like,2018-01-02,0.1232876712328767,45,-0.11120392420985734,-0.11134269460634096,0.9658177264098724,21,True
ES_like,2018-01-02,0.1643835616438356,60,-0.12134555484061411,-0.12260993832577277,0.9690974937608601,21,True
ES_like,2018-01-02,0.2465753424657534,90,-0.12574333127561996,-0.1220335487004995,0.9656837156342557,21,True
ES_like,2018-01-02,0.3287671232876712,120,-0.09349285332403066,-0.09243579395920722,0.9662665605975769,21,True
ES_like,2018-01-02,0.4931506849315068,180,-0.08760930685909721,-0.08958103190067951,0.940205312379834,21,True
ES_like,2018-01-02,0.6904109589041096,252,-0.0843126910537018,-0.08366843338867543,0.9374238427392573,21,True
ES_like,2018-01-02,1.0,365,-0.07682165208978506,-0.07199204493009936,0.8593401892355483,21,True
ES_like,2018-01-03,0.038356164383561646,14,-0.1657161161803377,-0.16553530403076022,0.9772135293282216,21,True
ES_like,2018-01-03,0.057534246575342465,21,-0.1770822643207901,-0.17720617346156065,0.9844797473314851,21,True
ES_like,2018-01-03,0.0821917808219178,30,-0.11128245245460576,-0.1127434814533108,0.9574918784426444,21,True
ES_like,2018-01-03,0.1232876712328767,45,-0.1025915837016093,-0.10023580322599422,0.9602217745080249,21,True
ES_like,2018-01-03,0.1643835616438356,60,-0.1218315884810931,-0.12423311670191133,0.966277205021942,21,True
ES_like,2018-01-03,0.2465753424657534,90,-0.10750455954815571,-0.10981886443673106,0.9630047526926252,21,True
ES_like,2018-01-03,0.3287671232876712,120,-0.12230892404906668,-0.11848029205069294,0.9772761998755068,21,True
